No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4580;NAP;59.36M;-;5.63;-;0.71;0.28;2.72;8.86;-41.80%;-36.49%;32.30%;-9.24%;5.30%;3.04;4.47%;91,461
4581;NAT;308.07M;-;-;-;1.19;0.47;6.63;-;35.60%;55.30%;-7.20%;5.00%;17.90%;2.15;-0.69%;350,657
4582;NATH;345.85M;82.15;-;-;3.34;-;6.53;-;-68.20%;-;-19.10%;-;7.80%;84.35;2.68%;16,912
4583;NATI;6.42B;47.64;38.08;1.07;4.85;5.49;14.98;116.05;45.20%;20.28%;4.90%;44.40%;2.40%;49.10;1.13%;107,594
4584;NATR;179.87M;-;-;-;0.50;1.40;-;11.53;-705.10%;-;-19.50%;-;-1.10%;8.95;0.56%;8,167
4585;NAUH;19.42M;-;-;-;0.25;1.31;3.66;-;-93.10%;-;-34.20%;15.00%;-9.80%;0.90;-1.64%;5,272
4586;NAV;4.23B;14.49;11.16;2.90;0.44;-;3.79;-;122.60%;14.43%;15.00%;5.00%;-7.60%;40.97;-1.06%;147,487
4587;NAVB;39.44M;-;-;-;28.17;24.84;7.17;-;-79.00%;-;22.00%;-;87.20%;0.24;-2.38%;153,881
4588;NAVG;2.09B;25.81;19.94;3.23;1.50;1.67;11.88;7.90;-27.30%;-1.81%;-2.10%;8.00%;8.40%;69.25;0.07%;117,124
4589;NAVI;3.72B;45.31;7.09;-;2.04;1.00;2.30;4.44;-85.90%;2.97%;-31.00%;-6.00%;-11.90%;13.97;-0.25%;574,803
4590;NAZ;137.57M;23.83;-;-;12.79;0.83;-;-;-;-;-;-;-;11.76;-0.08%;48,450
4591;NBD;-;-;-;-;-;-;-;-;-;-;-;-;-;21.76;0.09%;100
4592;NBEV;249.72M;-;-;-;4.88;2.96;1248.59;-;40.00%;95.70%;-52.50%;-;127.80%;4.50;13.58%;24,086,198
4593;NBH;254.57M;38.14;-;-;12.36;0.91;-;-;-;-;-;-;-;13.49;-0.37%;38,555
4594;NBHC;1.16B;26.97;16.15;2.70;6.05;1.76;7.36;-;50.70%;9.35%;159.00%;10.00%;-6.80%;37.90;0.37%;18,708
