No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
1;A;22.43B;27.38;23.59;2.53;4.66;4.91;10.52;36.35;49.40%;9.13%;-8.50%;10.84%;-8.20%;70.46;0.73%;1,135,059
2;AA;7.67B;49.19;10.62;10.93;0.60;1.55;7.04;36.88;158.50%;-3.77%;-;4.50%;-;41.45;-1.22%;2,667,445
3;AABA;41.18B;2.44;4.12;-;157.90;0.86;15838.16;-;-;-;50.10%;-0.83%;-59.50%;67.81;0.33%;1,954,348
4;AAC;172.55M;-;7.92;-;0.52;1.13;15.14;-;25.00%;21.51%;-64.60%;20.00%;36.90%;7.25;0.00%;68,037
5;AADR;-;-;-;-;-;-;-;-;-;-;-;-;-;53.25;1.70%;5,362
6;AAL;19.46B;8.13;7.31;0.68;0.45;-;4.16;8.91;16.20%;23.02%;18.90%;11.89%;11.20%;40.88;-2.61%;3,876,031
7;AAMC;98.77M;-;-;-;5.99;-;3.37;-;-55.70%;-;-;-;-;60.60;0.62%;50
8;AAME;56.76M;115.22;-;-;0.31;0.53;7.57;33.39;67.00%;-;-0.20%;-;5.30%;2.59;-2.33%;1,182
9;AAN;3.78B;24.85;13.59;2.07;1.05;2.17;40.08;15.74;13.10%;17.13%;-0.90%;12.00%;8.90%;53.59;-1.25%;186,228
10;AAOI;657.23M;22.95;11.28;1.77;2.04;1.90;8.63;298.74;94.00%;25.66%;116.60%;13.00%;43.20%;33.33;0.36%;445,117
11;AAON;2.07B;49.50;27.87;4.12;4.86;8.64;85.03;715.40;-5.50%;61.14%;13.80%;12.00%;6.00%;38.80;-1.27%;63,480
12;AAP;12.50B;28.36;20.88;1.90;1.33;3.39;13.86;19.83;-27.80%;15.57%;-3.00%;14.90%;8.60%;167.40;-0.15%;281,099
13;AAPL;1078.01B;19.16;16.12;1.78;4.22;9.38;15.19;23.52;10.80%;16.30%;7.90%;10.75%;7.90%;222.45;0.75%;13,135,214
14;AAT;1.74B;92.56;160.17;30.85;5.28;2.12;33.93;7.40;-13.40%;76.92%;61.20%;3.00%;6.00%;37.21;1.00%;33,135
15;AAU;70.98M;-;-;-;-;1.17;7.39;-;-11.60%;-;20.60%;-;-;0.64;2.00%;97,832
16;AAV;461.90M;20.83;11.36;-;3.03;0.46;153.97;-;680.10%;139.13%;24.10%;-2.00%;-0.80%;2.50;0.00%;0
17;AAWW;1.62B;37.81;8.62;3.78;0.67;0.90;6.93;-;115.00%;3.92%;-5.70%;10.00%;5.60%;62.55;0.32%;71,572
18;AAXJ;-;-;-;-;-;-;-;-;-;-;-;-;-;70.68;0.34%;225,006
19;AAXN;3.75B;125.73;89.61;4.19;9.73;7.87;12.03;88.20;-24.20%;37.07%;-1.90%;30.00%;24.50%;66.04;3.80%;273,854
20;AB;2.99B;10.97;11.38;1.38;11.24;1.95;-;-;10.20%;0.76%;37.10%;7.93%;26.80%;30.45;0.33%;75,991
21;ABAC;16.36M;25.61;-;-;0.59;0.19;0.26;-;-15.10%;-;28.20%;-;0.40%;2.13;1.43%;11,038
22;ABB;51.62B;23.20;15.47;3.74;1.45;3.75;12.01;21.98;18.00%;20.89%;-2.60%;6.20%;-2.70%;23.90;-0.38%;1,007,064
23;ABBV;142.11B;21.80;10.49;1.34;4.59;-;37.97;23.29;-2.40%;13.23%;1.20%;16.32%;9.00%;94.04;0.67%;1,726,405
24;ABC;19.58B;40.58;12.56;3.98;0.12;6.32;8.20;13.48;-74.00%;9.98%;-11.10%;10.20%;14.40%;89.97;0.45%;348,077
25;ABCB;2.29B;22.85;11.17;2.86;7.04;1.36;4.76;-;13.00%;28.35%;38.80%;8.00%;17.90%;47.35;-0.21%;52,738
26;ABCD;566.08M;9.74;23.25;-;3.55;-;120.44;17.53;466.40%;30.77%;19.70%;-;1.30%;11.88;0.19%;79,695
27;ABDC;85.42M;-;7.74;-;2.74;0.58;6.73;-;-310.60%;-14.24%;0.75%;-;-;6.24;-0.89%;30,969
28;ABEO;729.62M;-;-;-;187.08;4.04;6.09;-;-2.50%;9.60%;52.10%;-;-28.30%;13.93;1.46%;281,992
29;ABEV;70.74B;34.35;18.00;1.45;5.42;5.14;-;-;-4.30%;13.60%;42.22%;23.65%;-;4.46;-0.89%;16,433,832
30;ABG;1.46B;9.00;8.93;0.58;0.22;3.21;582.42;13.79;-5.40%;1.33%;21.50%;15.45%;6.80%;70.10;-1.54%;62,005
31;ABIL;11.50M;-;-;-;4.42;-;16.42;-;-13.10%;-;-;-;-;3.84;-7.36%;158,376
32;ABIO;7.44M;-;-;-;-;0.80;0.78;-;2.30%;-33.80%;33.50%;-;-;0.57;10.25%;1,310,074
33;ABM;2.19B;35.21;15.81;2.20;0.35;1.51;47.70;24.43;22.40%;12.48%;3.20%;16.00%;4.90%;33.36;0.48%;118,722
34;ABMD;18.69B;103.76;86.11;3.59;29.14;25.84;51.84;131.89;149.60%;4.53%;51.40%;28.90%;30.30%;438.43;4.49%;758,636
35;ABR;859.55M;9.42;10.47;1.18;2.16;1.11;8.03;7.17;27.40%;-17.62%;12.10%;8.00%;25.50%;11.48;0.30%;392,123
36;ABT;124.86B;54.66;22.10;4.62;4.22;4.11;38.25;42.99;44.60%;11.98%;47.40%;11.84%;7.50%;71.95;0.72%;3,358,725
37;ABTX;582.62M;24.40;13.62;-;4.50;1.81;2.68;17.93;-13.90%;26.31%;16.89%;-;-;43.30;-0.12%;4,188
38;ABUS;551.29M;-;-;-;45.56;4.48;3.56;-;74.20%;-8.40%;-23.80%;-;-5.40%;9.88;3.95%;119,001
39;ABX;13.08B;-;17.25;-;1.69;1.38;6.27;37.47;67.00%;13.48%;36.10%;-3.58%;-10.30%;11.30;2.36%;22,860,206
40;AC;912.78M;190.38;-;-;34.71;1.03;3.33;-;-26.50%;-;0.40%;-;4.50%;40.20;-0.86%;5,398
41;ACAD;2.48B;-;-;-;13.40;9.36;9.65;-;23.20%;26.40%;-36.60%;22.50%;91.10%;21.22;6.90%;3,419,890
42;ACBI;451.53M;23.32;15.19;0.97;4.39;1.42;3.36;7.61;0.50%;12.00%;3.80%;24.00%;25.50%;17.40;0.58%;12,175
43;ACC;5.60B;48.00;59.06;2.72;6.63;1.55;106.56;-;-25.00%;-8.80%;1.60%;17.62%;11.30%;41.03;0.10%;194,453
44;ACCO;1.21B;10.97;7.88;0.95;0.60;1.64;-;8.49;9.30%;9.57%;-4.70%;11.50%;2.10%;11.60;0.43%;131,663
45;ACER;300.80M;-;-;-;-;16.04;36.24;-;83.90%;0.90%;56.90%;-;-;30.56;1.90%;30,343
46;ACET;88.48M;-;6.84;-;0.12;0.51;1.36;1.60;-70.30%;-11.04%;-11.30%;10.00%;7.50%;2.89;-1.03%;57,040
47;ACGL;12.13B;22.99;12.60;11.94;2.20;1.44;23.04;11.65;-20.80%;5.75%;0.90%;1.93%;9.50%;29.77;-0.45%;193,213
48;ACGLO;9.61B;19.06;-;-;1.72;1.15;-;-;-;-;-;-;-;23.65;-0.43%;4,970
49;ACGLP;9.43B;18.69;-;-;1.68;1.12;-;-;-;-;-;-;-;23.25;-0.18%;17,103
50;ACH;8.06B;34.90;-;-;0.32;0.98;1.86;4.77;390.80%;-;16.40%;-;3.80%;10.93;-0.27%;11,147
51;ACHC;3.21B;16.17;13.08;1.40;1.09;1.18;40.32;38.16;9.60%;9.08%;31.20%;11.56%;47.40%;35.98;-0.06%;319,554
52;ACHN;490.59M;-;-;-;-;1.65;1.71;-;-37.60%;-20.00%;0.50%;17.58%;-;3.57;1.71%;374,856
53;ACHV;13.54M;-;-;-;-;0.27;-;-;70.10%;-;33.60%;-;-;2.86;-0.69%;64,569
54;ACIA;1.65B;102.18;31.09;-;5.01;3.21;5.44;46.23;-48.50%;147.61%;-;-12.00%;-;40.57;0.77%;238,117
55;ACIM;-;-;-;-;-;-;-;-;-;-;-;-;-;81.49;0.30%;1,057
56;ACIU;548.99M;-;-;-;25.07;4.84;5.13;-;-226.60%;-5.30%;-;-;-;8.45;0.96%;19,603
57;ACIW;3.30B;89.53;33.00;7.46;3.32;3.49;56.00;53.20;-68.50%;58.38%;-3.40%;12.00%;9.00%;28.54;0.56%;66,245
58;ACLS;648.81M;5.66;11.45;0.28;1.40;1.69;4.40;19.60;891.50%;31.65%;36.80%;20.00%;15.10%;20.08;-0.86%;109,553
59;ACM;5.28B;54.55;10.89;10.71;0.27;1.29;-;13.76;246.30%;12.50%;43.40%;5.09%;17.20%;32.60;-0.73%;216,023
60;ACMR;190.31M;76.58;24.00;3.83;3.61;4.04;10.94;-;-148.40%;90.20%;-;20.00%;-;11.61;-0.26%;4,886
61;ACN;116.32B;26.01;23.74;2.55;2.86;11.26;29.58;33.05;-15.60%;8.20%;7.20%;10.20%;4.30%;172.80;0.10%;811,213
62;ACNB;275.95M;16.04;-;-;4.49;1.66;4.12;16.23;-2.30%;-;3.30%;-;5.10%;37.70;-0.13%;2,706
63;ACOR;887.81M;-;-;-;1.51;1.45;2.27;4.69;-497.30%;-1159.30%;-26.10%;29.00%;14.00%;18.55;-1.07%;211,446
64;ACP;-;-;-;-;-;-;-;-;-;-;-;-;-;14.29;0.70%;44,087
65;ACRE;396.35M;11.24;11.13;2.52;3.58;0.95;79.27;-;17.20%;-4.09%;106.30%;4.46%;60.10%;14.12;0.14%;34,160
66;ACRS;479.58M;-;-;-;73.78;2.70;2.91;-;-11.50%;23.70%;-;-;-;14.97;-1.64%;44,237
67;ACRX;261.10M;-;-;-;76.79;-;5.21;-;61.00%;7.20%;24.40%;-;27.30%;4.22;-8.16%;2,053,894
68;ACSF;36.80M;7.13;-;-;2.16;0.29;-;-;-;-;-;-;-;3.68;0.00%;0
69;ACSI;-;-;-;-;-;-;-;-;-;-;-;-;-;34.01;0.10%;1,186
70;ACST;21.41M;-;-;-;-;5.39;-;-;30.30%;34.00%;-;-;-;0.80;-4.18%;1,195,211
71;ACT;-;-;-;-;-;-;-;-;-;-;-;-;-;27.00;0.04%;4,416
72;ACTG;151.20M;-;-;-;1.39;0.68;1.12;-;140.50%;-;-18.40%;20.00%;-23.60%;3.15;0.00%;84,853
73;ACU;70.23M;15.88;12.18;1.59;0.52;1.41;36.96;-;-13.00%;16.99%;4.70%;10.00%;9.10%;22.11;1.35%;1,725
74;ACV;254.32M;5.73;-;-;23.77;1.03;-;-;-6.90%;-;-;-;-;24.70;0.32%;74,187
75;ACWF;-;-;-;-;-;-;-;-;-;-;-;-;-;30.78;0.10%;3,559
76;ACWI;-;-;-;-;-;-;-;-;-;-;-;-;-;74.53;0.26%;564,675
77;ACWV;-;-;-;-;-;-;-;-;-;-;-;-;-;87.77;0.25%;17,752
78;ACWX;-;-;-;-;-;-;-;-;-;-;-;-;-;48.09;0.50%;394,338
79;ACXM;3.90B;-;44.12;-;4.19;5.44;41.01;56.77;-126.70%;23.09%;-15.10%;21.50%;-3.00%;50.70;-0.69%;306,012
80;ACY;22.28M;17.79;8.59;-;0.65;0.47;5.06;-;78.60%;260.78%;-15.90%;-;3.30%;15.65;-0.95%;112
81;ADAP;1.15B;-;-;-;23.57;6.79;8.90;-;21.10%;-21.60%;-58.90%;13.50%;-;11.99;0.84%;124,723
82;ADBE;132.02B;49.86;34.00;2.14;15.40;14.92;20.84;45.06;45.90%;13.93%;15.30%;23.35%;10.60%;266.60;0.95%;1,094,390
83;ADC;1.65B;27.33;33.26;-;12.50;1.79;183.58;-;6.80%;-7.15%;11.30%;-0.90%;27.50%;53.01;0.55%;69,482
84;ADES;234.26M;5.75;3.89;0.12;21.30;2.88;7.28;-;-64.00%;29.57%;34.30%;50.00%;16.90%;11.77;1.68%;18,227
85;ADI;35.51B;25.35;16.03;2.30;5.78;3.25;-;-;-25.00%;-0.03%;-0.60%;11.00%;13.60%;92.72;-2.40%;3,538,586
86;ADIL;19.08M;-;-;-;-;-;95.39;-;-171.20%;-;-;-;-;3.00;3.09%;39,071
87;ADM;27.78B;20.02;13.74;-;0.44;1.50;-;-;-13.80%;4.00%;12.20%;-8.80%;5.40%;49.88;0.53%;1,034,494
88;ADMA;311.42M;-;-;-;12.26;5.20;-;-;-19.00%;60.50%;-6.60%;-;82.70%;6.35;0.95%;78,363
89;ADMP;162.82M;-;-;-;12.24;4.61;47.89;-;52.20%;50.00%;13.90%;-;-;3.70;5.71%;1,890,502
90;ADMS;533.92M;-;-;-;49.90;3.63;2.63;-;-43.40%;24.70%;-41.50%;35.60%;-56.70%;19.59;2.40%;212,483
91;ADNT;4.04B;465.59;5.97;50.61;0.23;1.05;10.70;9.28;156.60%;25.55%;26.80%;9.20%;-4.10%;42.12;-2.73%;592,255
92;ADOM;47.68M;-;-;-;29.80;4.62;6.19;-;-109.70%;35.30%;-;-;-;0.59;-1.68%;96,126
93;ADP;65.28B;40.76;25.21;2.79;4.90;18.87;30.04;66.56;-4.90%;14.26%;9.70%;14.60%;7.10%;147.80;-0.85%;1,613,349
94;ADRA;-;-;-;-;-;-;-;-;-;-;-;-;-;32.50;0.29%;838
95;ADRD;-;-;-;-;-;-;-;-;-;-;-;-;-;22.71;0.64%;1,530
96;ADRE;-;-;-;-;-;-;-;-;-;-;-;-;-;40.10;0.37%;10,455
97;ADRO;478.02M;-;-;-;28.45;2.66;1.65;-;13.20%;7.40%;-52.30%;-1.10%;126.40%;5.90;-0.84%;146,481
98;ADRU;-;-;-;-;-;-;-;-;-;-;-;-;-;22.09;0.55%;357
99;ADS;13.40B;16.56;9.52;1.32;1.72;6.38;3.89;5.22;76.40%;13.13%;14.50%;12.58%;16.20%;243.22;-0.65%;137,838
100;ADSK;33.59B;-;47.77;-;14.99;-;28.72;-;-4.40%;246.21%;-35.40%;53.93%;-2.30%;154.90;1.35%;737,201
101;ADSW;2.43B;143.21;39.61;6.84;1.58;2.65;352.55;22.95;94.90%;16.05%;55.10%;20.95%;22.90%;27.13;-0.29%;106,985
102;ADT;6.95B;21.94;8.09;1.19;1.57;1.49;20.17;9.87;158.80%;32.37%;-;18.40%;-;9.25;-0.11%;633,136
103;ADTN;866.51M;-;39.00;-;1.55;1.90;8.14;-;2.00%;256.70%;-0.20%;2.30%;1.50%;18.08;-0.96%;97,200
104;ADUS;941.46M;49.00;31.87;3.27;2.04;4.39;13.60;11.65;20.90%;16.22%;8.10%;15.00%;11.70%;70.78;-0.32%;41,501
105;ADVM;366.60M;-;-;-;229.13;1.60;1.56;-;66.40%;-8.20%;-65.50%;-;128.00%;5.93;-1.25%;201,620
106;ADX;1.68B;7.14;-;-;54.35;0.93;5598.28;7.61;210.40%;-;18.60%;-;4.50%;16.72;0.39%;22,014
107;ADXS;61.29M;-;-;-;9.15;1.46;1.56;-;-11.00%;33.90%;14.30%;-;-;0.89;-2.94%;635,923
108;AE;190.26M;23.56;-;-;0.12;1.17;1.50;9.24;-39.60%;-;-44.00%;-;-17.10%;41.66;0.51%;1,160
109;AEE;15.54B;20.19;19.53;2.93;2.48;2.10;535.80;-;3.30%;0.59%;5.50%;6.90%;1.30%;62.88;-1.38%;520,860
110;AEF;64.33M;8.30;-;-;6.99;0.85;-;-;143.80%;-;6.20%;-;-11.50%;6.77;0.30%;23,889
111;AEG;13.34B;6.24;7.71;0.15;0.25;0.47;1.18;-;393.70%;31.25%;9.90%;41.50%;4.30%;6.74;4.09%;1,189,935
112;AEGN;787.22M;-;15.47;-;0.59;1.64;10.60;13.93;-339.40%;17.89%;-28.20%;10.75%;6.00%;24.51;-0.24%;27,312
113;AEHR;55.26M;108.91;12.53;5.45;1.87;2.85;-;-;106.70%;66.67%;15.60%;20.00%;12.40%;2.50;-0.20%;44,323
114;AEIS;2.12B;9.70;10.06;0.97;2.84;3.57;4.87;13.99;78.00%;13.67%;59.00%;10.00%;8.20%;51.70;-4.26%;289,500
115;AEL;3.25B;9.00;9.66;0.90;1.10;1.34;2.58;3.44;139.70%;4.92%;21.30%;10.00%;19.70%;35.83;-0.67%;74,356
116;AEM;8.17B;51.58;43.15;5.16;3.58;1.64;10.28;-;49.10%;160.13%;-10.40%;10.00%;3.20%;34.90;1.60%;982,289
117;AEMD;21.20M;-;-;-;70.68;4.07;3.48;-;50.80%;3.80%;22.40%;-;-34.40%;1.20;1.69%;56,609
118;AEO;4.17B;16.90;14.47;1.17;1.05;3.31;11.47;19.52;-7.70%;8.77%;-4.10%;14.49%;1.80%;23.87;1.53%;1,561,432
119;AEP;34.67B;18.32;17.11;3.28;2.17;1.86;92.61;-;206.90%;5.39%;8.10%;5.59%;0.60%;69.59;-1.49%;1,505,020
120;AER;8.39B;8.37;8.27;2.99;1.79;0.96;5.25;-;19.00%;3.90%;39.70%;2.80%;36.40%;57.32;0.07%;303,599
121;AERI;2.66B;-;-;-;1107.81;11.85;9.29;-;-20.80%;67.90%;24.20%;-;-;58.60;-0.51%;143,319
122;AES;9.10B;32.38;10.52;3.76;0.86;2.75;4.56;-;12.00%;8.37%;11.00%;8.60%;-9.30%;13.73;-0.22%;4,946,135
123;AET;66.90B;18.65;16.53;1.90;1.10;3.83;8.98;31.50;-6.80%;9.49%;4.40%;9.79%;10.60%;200.16;-1.59%;1,820,822
124;AETI;6.87M;7.17;-;-;0.23;1.30;13.75;-;66.00%;-;-26.20%;-;-2.70%;0.73;-1.63%;43,980
125;AEY;14.19M;-;-;-;0.29;0.36;6.76;-;-133.10%;-;-16.00%;-;10.40%;1.41;1.33%;5,170
126;AEZS;28.47M;22.21;-;-;1.13;2.95;-;14.99;53.40%;-840.00%;60.50%;-;-14.80%;1.72;0.58%;23,467
127;AFB;-;-;-;-;-;-;-;-;-;-;-;-;-;12.20;-0.33%;16,022
128;AFG;10.05B;16.46;13.13;1.34;1.40;1.96;5.55;6.68;-15.30%;-0.55%;4.10%;12.30%;7.00%;111.78;-0.20%;74,425
129;AFGE;2.27B;4.33;-;-;0.33;0.45;-;-;-;-;-;-;-;25.64;0.55%;640
130;AFH;122.88M;-;5.47;-;0.53;1.28;2.33;-;156.80%;3.18%;-59.70%;-;39.00%;10.30;0.00%;8,301
131;AFI;493.64M;-;26.73;-;0.43;0.89;17.32;12.89;-666.10%;65.34%;-;47.60%;-1.30%;18.65;-1.17%;111,600
132;AFIN;874.66M;-;-;-;3.09;0.51;-;-;-;-;-;-;-;16.13;-1.16%;147,968
133;AFK;-;-;-;-;-;-;-;-;-;-;-;-;-;21.66;1.36%;1,202
134;AFL;36.51B;12.86;11.45;1.51;1.66;1.55;9.49;7.24;4.20%;2.26%;1.90%;8.50%;-3.80%;47.85;0.32%;689,983
135;AFMD;272.93M;-;-;-;129.97;4.89;-;-;28.90%;35.80%;-1.40%;-;11.40%;4.65;5.68%;2,200,045
136;AFSI;2.89B;109.77;9.73;10.98;0.49;1.09;4.32;-;-226.10%;27.77%;-33.50%;10.00%;29.00%;14.63;0.21%;132,422
137;AFT;-;-;-;-;-;-;-;-;-;-;-;-;-;16.01;-0.09%;22,971
138;AFTY;-;-;-;-;-;-;-;-;-;-;-;-;-;15.08;-0.26%;504
139;AG;928.17M;-;93.33;-;3.55;1.45;-;-;-100.00%;-;-31.03%;46.80%;-;5.74;2.50%;1,203,229
140;AGCO;4.85B;18.47;12.68;0.85;0.54;1.63;17.28;25.23;45.30%;26.10%;-11.70%;21.76%;-3.60%;60.51;0.18%;297,089
141;AGD;-;-;-;-;-;-;-;-;-;-;-;-;-;10.45;0.01%;18,505
142;AGEN;255.74M;-;-;-;8.76;-;-;-;15.90%;-11.50%;-19.10%;-;21.90%;2.13;-0.70%;716,803
143;AGFS;335.20M;-;60.28;-;1.95;0.89;8.02;50.79;105.70%;147.80%;-;15.00%;-;6.69;1.83%;77,048
144;AGG;-;-;-;-;-;-;-;-;-;-;-;-;-;105.19;-0.16%;991,737
145;AGGE;-;-;-;-;-;-;-;-;-;-;-;-;-;18.48;-0.16%;25
146;AGGP;-;-;-;-;-;-;-;-;-;-;-;-;-;19.08;-0.15%;17,260
147;AGGY;-;-;-;-;-;-;-;-;-;-;-;-;-;48.15;-0.39%;7,956
148;AGI;1.82B;104.00;15.10;-;2.88;0.68;-;-;53.80%;55.00%;-28.13%;-;-;4.66;-0.32%;676,477
149;AGIO;4.40B;-;-;-;62.64;5.30;6.14;-;-33.20%;7.50%;3.40%;-;11.40%;76.20;0.91%;145,566
150;AGLE;187.77M;-;-;-;28.45;2.50;2.60;-;18.80%;-27.20%;-;-;-;9.28;4.04%;56,509
151;AGM;796.70M;9.72;8.68;0.88;1.69;1.46;1.85;3.73;12.70%;9.90%;11.10%;11.00%;8.60%;76.57;-0.62%;12,171
152;AGM-A;73.22M;9.11;-;-;0.41;1.35;-;-;-;-;-;-;-;71.03;0.00%;0
153;AGMH;485.37M;119.84;-;-;38.70;56.08;-;-;-;-;-;-;-;25.68;12.78%;4,456
154;AGN;64.21B;-;11.20;-;3.97;0.89;37.85;12.22;-543.10%;3.14%;9.51%;6.35%;21.90%;187.94;-0.02%;531,156
155;AGNC;8.91B;5.42;8.03;3.88;4.02;0.89;10.32;70.69;14.00%;-2.62%;-13.30%;1.40%;-6.90%;18.75;-0.11%;1,668,935
156;AGNCB;11.23B;7.48;-;-;7.69;1.31;-;-;-;-;-;-;-;25.84;-0.15%;30,360
157;AGNCN;11.47B;7.64;-;-;7.86;1.34;-;-;-;-;-;-;-;26.46;0.15%;19,607
158;AGND;-;-;-;-;-;-;-;-;-;-;-;-;-;44.00;0.25%;1,943
159;AGO;4.61B;8.46;14.03;2.82;3.16;0.72;24.89;7.57;-1.60%;-12.36%;62.10%;3.00%;12.90%;42.37;-0.26%;145,799
160;AGQ;-;-;-;-;-;-;-;-;-;-;-;-;-;23.56;2.57%;189,180
161;AGR;14.94B;289.46;19.45;27.83;2.43;0.99;287.32;-;-91.60%;7.76%;-20.70%;10.40%;8.00%;47.36;-2.03%;120,878
162;AGRO;881.95M;-;10.77;-;0.96;1.74;6.10;195.99;392.50%;376.19%;-5.50%;-0.60%;8.70%;7.49;-0.66%;232,130
163;AGRX;12.30M;-;-;-;-;0.44;0.55;-;10.00%;-17.20%;11.80%;-;-;0.33;-3.65%;601,331
164;AGS;1.09B;-;44.49;-;4.33;7.38;38.66;-;37.60%;258.50%;-4.30%;-;29.30%;29.41;0.93%;58,601
165;AGT;-;-;-;-;-;-;-;-;-;-;-;-;-;23.20;0.48%;2,650
166;AGTC;90.70M;-;-;-;3.75;0.91;0.86;-;-42.40%;-13.70%;-25.60%;-;91.40%;6.20;23.90%;885,323
167;AGX;677.04M;15.07;15.76;1.51;0.99;1.82;1.87;-;0.30%;49.62%;22.30%;10.00%;26.20%;43.13;-0.63%;64,629
168;AGYS;388.87M;-;-;-;3.05;3.42;11.08;-;1.50%;42.40%;-12.40%;15.00%;6.30%;16.11;-0.74%;25,930
169;AGZ;-;-;-;-;-;-;-;-;-;-;-;-;-;110.46;-0.10%;4,788
170;AGZD;-;-;-;-;-;-;-;-;-;-;-;-;-;48.00;-0.04%;3,316
171;AHC;95.49M;6.84;-;-;0.42;1.09;1.68;-;169.60%;-;23.00%;-;-2.40%;4.50;0.00%;56,078
172;AHH;952.49M;35.32;38.61;7.06;4.15;2.48;77.44;-;-36.80%;-25.00%;-47.60%;5.00%;22.80%;14.39;-0.66%;59,439
173;AHL;2.49B;-;11.28;-;0.97;0.88;2.32;-;-293.50%;15.14%;-28.40%;16.71%;2.60%;41.60;0.00%;279,313
174;AHPA;21.55M;-;-;-;-;20.04;-;-;-;-;-;-;-;10.14;0.00%;0
175;AHPI;9.27M;-;-;-;0.28;0.66;30.90;-;9.40%;-;-37.90%;-;-5.10%;2.33;-0.21%;84
176;AHT;629.07M;-;-;-;0.44;1.23;1.51;-;-36.00%;12.20%;-0.60%;5.00%;9.40%;6.37;-2.00%;215,174
177;AI;290.24M;-;5.40;-;3.18;0.96;15.52;21.82;136.00%;-12.22%;-48.60%;-4.94%;13.00%;10.09;-0.29%;144,051
178;AIA;-;-;-;-;-;-;-;-;-;-;-;-;-;62.56;0.22%;22,496
179;AIEQ;-;-;-;-;-;-;-;-;-;-;-;-;-;29.52;0.17%;18,914
180;AIG;49.36B;317.73;10.09;9.20;1.03;0.81;23.12;-;194.50%;20.56%;-20.20%;34.55%;-7.10%;54.48;-0.31%;2,154,009
181;AIHS;136.90M;-;-;-;228.17;11.50;13.29;-;-;-;-;-;-;5.05;-4.57%;813
182;AIMC;1.25B;27.14;13.63;1.80;1.36;3.00;32.75;40.91;54.50%;23.14%;10.60%;15.10%;3.70%;42.28;-1.23%;1,361,484
183;AIMT;1.61B;-;-;-;-;5.52;5.54;-;-9.60%;10.20%;-;34.60%;-;27.55;0.40%;132,350
184;AIN;2.53B;37.49;23.27;2.50;2.71;4.27;16.37;-;-24.50%;20.50%;24.20%;15.00%;2.60%;79.63;2.15%;32,978
185;AINC;180.14M;-;11.50;-;1.19;4.33;-;24.02;-646.30%;-7.79%;14.30%;-;-;78.38;-8.63%;18,666
186;AINV;1.20B;16.74;8.19;5.58;4.70;0.85;103.74;-;382.00%;9.30%;-3.70%;3.00%;-4.80%;5.47;-0.46%;457,043
187;AIPT;13.24M;-;-;-;12.03;3.54;13.24;-;47.30%;-;64.00%;-;28.20%;1.00;1.01%;101,492
188;AIQ;-;-;-;-;-;-;-;-;-;-;-;-;-;15.84;0.35%;6,686
189;AIR;1.56B;26.39;14.38;1.02;0.89;1.66;50.23;48.81;13.60%;17.33%;8.10%;25.87%;-0.70%;45.53;1.21%;76,774
190;AIRG;133.60M;-;54.87;-;2.50;2.86;4.16;-;-76.60%;250.00%;17.60%;18.00%;22.20%;13.37;2.38%;16,460
191;AIRI;38.56M;-;-;-;0.82;2.09;96.40;-;38.80%;25.00%;-33.50%;-;-4.90%;1.44;-1.71%;5,004
192;AIRR;-;-;-;-;-;-;-;-;-;-;-;-;-;28.17;0.00%;5,019
193;AIRT;64.81M;15.70;-;-;0.31;2.40;9.53;-;178.60%;-;11.80%;-;13.50%;34.00;3.34%;942
194;AIT;3.06B;22.84;15.27;1.90;0.99;3.75;56.37;39.07;1.70%;10.52%;4.50%;12.00%;4.50%;79.40;0.57%;40,171
195;AIV;6.83B;-;160.22;-;6.78;4.58;101.35;-;-135.80%;-69.68%;37.90%;7.10%;1.00%;43.83;0.57%;200,643
196;AIZ;6.52B;23.29;12.22;1.20;0.97;1.12;5.20;13.26;-32.10%;11.47%;1.80%;19.40%;-5.50%;103.44;-0.44%;187,844
197;AJG;13.76B;21.31;19.14;1.70;2.06;3.08;21.10;24.85;18.20%;13.69%;11.50%;12.53%;19.60%;74.79;-0.48%;191,107
198;AJRD;2.47B;33.29;24.99;1.66;1.25;11.09;4.41;15.04;177.00%;7.56%;58.00%;20.00%;13.50%;34.35;3.90%;320,768
199;AJX;252.03M;12.39;7.75;-;2.40;0.85;7.26;-;-22.70%;8.37%;-2.92%;-;-;13.57;0.15%;4,996
200;AKAM;12.46B;61.81;19.16;3.57;4.76;3.60;6.71;20.59;-21.10%;13.69%;4.70%;17.33%;12.70%;72.99;0.16%;528,413
201;AKAO;204.16M;-;-;-;28.36;3.36;2.03;-;-5.50%;39.50%;-22.20%;-;-9.00%;4.26;-3.18%;237,145
202;AKBA;480.93M;-;-;-;2.15;2.87;1.20;-;50.90%;12.40%;-22.90%;-;-;8.57;2.27%;133,469
203;AKCA;2.93B;-;-;-;43.81;9.37;7.68;-;-25.90%;89.00%;-;-;-;34.63;4.68%;259,833
204;AKER;23.27M;-;-;-;9.69;2.06;2.80;-;-27.50%;-;19.10%;-;16.50%;0.27;7.31%;3,407,840
205;AKG;200.22M;-;29.82;-;0.80;0.61;10.65;5.94;144.80%;118.80%;16.80%;-;-;0.83;-0.43%;93,713
